age,industry,Education,ALERT,is_sanctioned,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP
39.0,Manufacturing,Bachelor's Degree,1,0,2,62000.0,4,773,MA,32,105.53,3376.96, ,15,2,0,213.52,1,3,3376.96,0.0,0,1,1,51.96,1,13000,1,4,1,8,0,0
34.0,Legal,Master's Degree,1,0,2,127900.0,10,738,ME,8,187.18,1497.44,  late payment card replace,4,2,1,377.28,1,2,1497.44,0.0,0,1,1,66.03,2,20000,1,3,1,7,2,0
27.0,Entertainment and Hospitality,Associate Degree,1,0,1,31000.0,6,707,RI,2,43.03,86.06,  transfer customer call statement,2,0,0,0.0,0,3,86.06,0.0,0,1,1,41.83,0,8000,0,6,0,6,1,0
42.0,Education,Associate Degree,1,0,0,27100.0,4,762,PA,14,182.08,2549.12, ,8,2,0,364.56,0,2,127.46,0.0,0,1,1,34.06,2,12000,1,2,0,6,2,0
37.0,Retail,Master's Degree,1,0,0,33400.0,19,742,ME,7,0.88,6.16, ,1,1,0,0.92,1,6,60.0,53.84,1,1,1,78.0,0,17000,1,3,0,6,0,0
25.0,Construction,High School or Below,1,0,2,16900.0,20,682,NY,20,130.12,2602.4, ,5,3,0,389.01,0,5,2602.4,0.0,0,1,1,43.41,5,13000,1,1,0,4,2,0
47.0,Financial Services,Bachelor's Degree,1,0,2,109900.0,3,680,PA,36,54.35,1956.6,customer call customer call card replace,20,4,2,207.98,0,3,271.11,0.0,0,1,1,38.2,3,14000,0,7,0,9,1,0
27.0,Manufacturing,Associate Degree,1,0,0,9400.0,3,711,PA,3,8.88,26.64,billing address password change password change,2,0,0,0.0,0,4,60.0,33.36,1,3,1,85.74,0,5000,1,1,0,11,2,0
29.0,Education,High School or Below,1,0,0,4700.0,28,800,NY,3,11.16,33.48, ,2,0,0,0.0,0,4,60.0,26.52,1,1,1,94.36,0,18000,1,3,0,13,1,0
38.0,Retail,Bachelor's Degree,1,0,2,69200.0,10,701,PA,136,87.6,11913.6,"plastic replace late payment card replace lost cardrefund requested. supply additional details, call back",61,20,6,1791.54,9,2,11913.6,0.0,0,1,1,24.32,2,10000,1,4,0,8,1,0
28.0,Scientific and Technical Services,Bachelor's Degree,1,0,0,10700.0,28,723,PA,7,7.67,53.69,  transfer billing address,4,0,0,0.0,0,2,62.21,8.52,1,2,1,61.35,0,12000,1,2,0,7,1,0
39.0,Manufacturing,Bachelor's Degree,1,0,2,62000.0,4,773,MA,32,105.53,3376.96, ,15,2,0,213.52,1,3,3376.96,0.0,0,1,1,51.96,1,13000,1,4,1,8,0,0
51.0,Engineering,Associate Degree,1,1,1,142500.0,38,691,RI,35,0.0,0.0, ,15,2,0,0.0,2,3,2671.31,2671.31,1,1,1,2671.31,3,11000,0,6,0,3,3,0
44.0,Information Technology,Bachelor's Degree,1,0,0,105700.0,6,674,NJ,7,178.47,1249.29, ,4,1,0,180.27,1,3,4086.71,2837.42,1,1,1,2863.5,3,16000,0,3,0,3,2,0
31.0,Transportation,,1,0,2,28100.0,1,695,PA,2,40.98,81.96, ,1,0,0,0.0,0,4,81.96,0.0,0,1,1,27.71,0,9000,1,2,0,8,2,0
33.0,Manufacturing,Bachelor's Degree,1,0,2,58300.0,13,726,MA,35,3.12,109.2, ,16,1,0,2.88,0,2,60.0,0.0,0,1,1,30.9,0,14000,0,2,0,8,1,0
